,loc_name,lat,long,if_near
123,مهرآباد جنوبی تهران,35.6775321,51.3381183,0
124,کن تهران,35.7632162,51.2790505,0
125,پاتریس لومومبا تهران,35.726602,51.3759778,1
126,شهرآرا تهران,35.7185116,51.3721718,0
127,ونک تهران,35.764663,51.4058606,0
128,جردن تهران,35.7855793,51.4241254,0
129,فاطمی تهران,35.7184219,51.3895614,0
130,آذری تهران,35.6671035,51.3507428,0
131,سنگلج تهران,35.676766,51.4125574,0
132,شریف آباد تهران,35.422537,51.7902387,0
133,طرشت تهران,35.7160834,51.3435808,1
134,هاشمی تهران,35.6846963,51.3593942,0
135,ازگل تهران,35.7886946,51.5131214,0
136,خانی آباد تهران,35.6205262,51.3939825,0
137,کامرانیه تهران,35.8013376,51.461338,0
138,امین حضور تهران,35.6817385,51.4376348,0
139,شمس آباد تهران,35.6567296,51.3070091,0
140,خاقانی تهران,35.7042815,51.5037542,1
141,دکتر هوشیار تهران,35.6943854,51.3509136,0
142,آرژانتین تهران,35.7032388,51.4142255,0
143,شمشیری تهران,35.6722911,51.3398874,0
144,پلیس تهران,35.7213175,51.4454508,0
145,بریانک تهران,35.6717026,51.3809967,1
146,هوانیروز تهران,35.7441854,51.2429285,0
147,جی تهران,35.6757456,51.3570027,0
148,امیریه تهران,35.6781799,51.400731,0
149,اتابک تهران,35.6480563,51.462443,0
150,اقدسیه تهران,35.7940221,51.48678487322981,0
151,شیان تهران,35.7674216,51.4871111,0
152,صادقیه تهران,35.717839,51.3311651,1
153,شهید اسدی تهران,35.7019609,51.4548464,0
154,تهران نو تهران,35.7094244,51.489291,0
155,شاهین تهران,35.6710985,51.4593335,0
156,امیرآباد تهران,35.7333629,51.3901628,0
157,المهدی تهران,35.6979002,51.341756,0
158,نعمت آباد تهران,35.6337679,51.3472457,0
159,فیروزآبادی تهران,35.5955758,51.4332045,0
160,حکیمیه تهران,35.7447946,51.5788013,0
161,خلیج فارس تهران,35.6688025,51.2566545,0
162,گرگان تهران,35.7115394,51.4528651,0
163,شهرک ژاندارمری تهران,35.73405165,51.35467692803127,0
164,میدان حر تهران,35.6908759,51.3883603,0
165,دولاب تهران,35.6650426,51.4612874,0
166,شهرک صدرا تهران,35.7430553,51.2584305,0
167,درکه تهران,35.8043457,51.3827097,0
168,آشتیانی تهران,35.7163745,51.5050552,0
169,کاظم آباد تهران,35.545439,51.0986834,0
170,مشیریه تهران,35.624493,51.4796751,0
171,دیلمان تهران,35.6031024,51.4323704,0
172,میدان ولیعصر تهران,35.71163505,51.40705192461627,0
173,نیلوفر تهران,35.7351761,51.4331917,0
174,شمیران نو تهران,35.7590248,51.498701,0
175,دولت آباد تهران,35.6199741,51.4514397,0
176,دولتخواه تهران,35.6168338,51.3438589,0
177,امیر بهادر تهران,35.6687328,51.3997559,0
178,هفت حوض تهران,35.7284069,51.4894177,0
179,آجودانیه تهران,35.8062542,51.4828165,0
180,شهرک ولیعصر تهران,35.6305589,51.3959931,0
181,مینا تهران,35.7010551,51.4396136,0
182,اکباتان تهران,35.7069661,51.3056201,1
183,کاروان تهران,35.690635,51.3523323,0
184,وصفنارد تهران,35.6466778,51.3550758,0
185,نیرو هوایی تهران,35.7006477,51.4871773,0
186,ویلا تهران,35.5929928,51.4402252,0
187,کوی فراز تهران,35.7923723,51.3725123,0
188,صفا تهران,35.6947891,51.4521546,1
189,شهرک ابوذر تهران,35.7967655,51.5207317,0
190,جلفا تهران,35.7488317,51.4440013,0
191,سرتخت تهران,35.5919862,51.4377802,0
192,تولید دارو تهران,35.663724,51.3378347,0
193,نجات اللهی تهران,35.718081,51.4141789,0
194,نصرت تهران,35.7922036,51.4647592,0
195,حشمتیه تهران,35.7264682,51.4502086,1
196,حصار بوعلی تهران,35.8051681,51.4680166,0
197,باغ خزانه تهران,35.6640407,51.3707078,0
198,دریان نو تهران,35.7146676,51.3623258,0
199,مخصوص تهران,35.6781781,51.3892558,0
200,امام سجاد(ع) تهران,35.7101195,51.2782729,0
201,دانشگاه تهران تهران,35.7052672,51.3982903,1
202,مولوی تهران,35.6476422,51.3280965,0
203,زیبادشت تهران,35.7523909,51.2613119,0
204,لویزان تهران,35.7683818,51.5084181,0
205,شهرک طالقانی تهران,35.5793278,51.2279782,0
206,قصر فیروزه ۱ تهران,35.6718227,51.49672,1
207,شهرک شریعتی تهران,35.6439475,51.3682275,0
208,دانشگاه شریف تهران,35.7057728,51.3541752,1
209,آبشار تهران تهران,35.6788932,51.441906,0
210,زمزم تهران,35.6525617,51.3735926,0
211,خواجه نظام الملک تهران,35.7135374,51.4478501,0
212,امامزاده حسن تهران,35.6665271,51.3645461,0
213,قنات کوثر تهران,35.7633105,51.5334445,0
214,دریا تهران,35.772187,51.372317,0
215,شیخ هادی تهران,35.6939072,51.4077661,0
216,لشکر تهران,35.6849409,51.4736924,1
217,تسلیحات تهران,35.7195274,51.4727538,0
218,بهار تهران,35.7102335,51.4333621,0
219,کوی بیمه تهران,35.7053748,51.3181886,1
220,گمرک تهران,35.6659599,51.3954428,1
221,شهرک نفت (منطقه ۱) تهران,35.8128761,51.505936,0
222,قلهک تهران,35.7728779,51.4381024,0
223,بهجت آباد تهران,35.7202902,51.4118604,0
224,مجیدیه تهران,35.7357141,51.4656043,1
225,دانشگاه علم و صنعت تهران,35.7344204,51.5049701,0
226,سنایی تهران,35.7143991,51.5035833,0
227,شاندیز تهران,35.6602352,51.3503158,0
228,وحیدیه تهران,35.7150203,51.4707557,0
229,عباس آباد تهران,35.5714287,51.4687133,0
230,مجید آباد تهران,35.7620314,51.5444166,0
231,شوش تهران,35.6572974,51.4142116,0
232,جوادیه تهران,35.6593804,51.38782,1
233,امانیه تهران,35.7810654,51.4163299,0
234,شهرک مسلمین تهران,35.6453817,51.312306,0
235,مینابی,26.5505413,54.8728747,0
236,قیام تهران,35.6699777,51.4411377,0
237,شهرک استقلال تهران,35.6968443,51.2437265,0
238,جوادیه تهرانپارس تهران,35.7334516,51.5483454,1
239,زهتابی تهران,35.6418495,51.3608203,0
240,دربند تهران,35.8135171,51.429482,0
241,علی آباد تهران,35.6296116,51.4158145,0
242,اراج تهران,35.795851,51.4887161,0
243,هزار سنگ تهران,35.8121793,51.3710013,0
244,گلچین تهران,35.6535839,51.3672088,0
245,شاد آباد تهران,35.65641085,51.29859579488729,0
246,جوانمرد قصاب تهران,35.6100156,51.4194222,0
247,حافظیه تهران,35.7020505,51.496111,1
248,طوس تهران,35.69498555,51.362477324158974,0
249,ابن بابویه تهران,35.6029981,51.4456506,0
250,حکمت تهران,35.8006552,51.4452029,0
251,منصوریه تهران,35.6847496,51.3944673,0
252,چهارصد دستگاه تهران,35.6317675,51.4078172,0
253,فدک تهران,35.72658,51.4756588,0
254,کوثر تهران,35.6637145,51.4382344,0
255,ائمه اطهار تهران,35.6799786,51.4818502,0
256,کریم آباد تهران,35.3893124,51.8044992,0
257,سیزده آبان تهران,35.6039273,51.4124628,0
258,شارق شرقی تهران,35.7118373,51.4664526,0
259,حمزه آباد تهران,35.5976742,51.4247928,0
260,دروازه شمیران تهران,35.699035,51.4372976,0
261,شهرک فردوس تهران,35.7169681,51.3130715,0
262,شهرک نفت (منطقه ۵) تهران,35.8128761,51.505936,0
263,بهارستان تهران,35.6923351,51.4331713,0
264,کوی هفدهم شهریور,34.6925415,50.0021699,0
265,زاهد گیلانی تهران,35.6946445,51.4603643,1
266,شهرک تختی,32.278348,50.8906421,0
267,توانیر تهران,35.751603,51.4084871,0
268,اوین تهران,35.8000008,51.3942764,0
269,بازار تهران,35.6727861,51.4263323,1
270,جمهوری تهران,35.6970345,51.3820294,1
271,طیب تهران,35.6603775,51.4503436,0
272,زرگنده تهران,35.7732674,51.4329527,0
273,خاک سفید تهران,35.7427428,51.563555,0
274,مرادآباد تهران,35.7854654,51.3260007,0
275,امام حسین(ع) تهران,35.7024257,51.445726,0
276,سپهر تهران,35.6914589,51.3718665,1
277,ایوانک تهران,35.7572012,51.3582363,1
278,قاسم آباد تهران,35.7629807,51.525604,0
279,جهاد تهران,35.7233161,51.4032265,0
280,شهید دستغیب تهران,35.6236227,51.197083,0
281,گاندی تهران,35.7572178,51.4118956,0
282,بهداشت تهران,35.6569395,51.3381393,0
283,یاخچی آباد تهران,35.63195,51.403157,0
284,صد دستگاه تهران,35.6894879,51.4746357,1
285,جلیلی تهران,35.6501483,51.3622362,0
286,مقدم تهران,35.6562978,51.374727,0
287,شیوا تهران,35.6805413,51.4688149,0
288,ابراهیم آباد تهران,35.3657308,51.2834762,0
289,شهرک محلاتی تهران,35.8035965,51.5165779,1
290,آبشار تهران,35.7712104,51.2185866,0
291,خواجه نصیر طوسی تهران,35.7276123,51.3006404,0
292,جماران تهران,35.8198534,51.4583088,0
293,امامزاده قاسم تهران,35.81696625,51.435367228373664,0
294,شهرک فرهنگیان تهران,35.7536562,51.5426418,0
295,نبی اکرم(ص) تهران,35.6787537,52.5652412,0
296,ده ونک تهران,35.76806,51.3945177,0
297,فردوسی تهران,35.701545,51.419122,0
298,قلمستان تهران,35.6711738,51.3980348,0
299,زرکش تهران,35.7162761,51.479839,0
300,چیذر تهران,35.7963477,51.454676,0
301,باغ فردوس تهران,35.8025211,51.42206094138529,0
302,شهرک کوهسار تهران,35.7820353,51.3327372,0
303,صالح آباد شرقی تهران,35.606898,51.3963764,0
304,کاشانک تهران,35.8150678,51.4815151,0
305,شهرک آزادی تهران,35.7115332,51.2737387,0
306,حصارک تهران,35.7841665,51.3110537,0
307,اتحاد تهران,35.7502521,51.5399619,0
308,حسن آباد تهران,35.6861227,51.4101573,0
309,شهادت تهران,35.6134444,51.4487537,0
310,شهرک آپادانا تهران,35.7115372,51.3245926,1
311,شهید آوینی تهران,35.51337,50.9146927,0
312,بهاران تهران,35.7687604,51.2724879,0
313,شهرک غزالی تهران,35.7322845,51.1645264,0
